judet,an,mediu,numar_someri
ALBA,2019,total_urban,1659
ARAD,2019,total_urban,1322
ARGES,2019,total_urban,1281
BACAU,2019,total_urban,2392
BIHOR,2019,total_urban,1188
BISTRITA-NASAUD,2019,total_urban,1001
BOTOSANI,2019,total_urban,1376
BRAILA,2019,total_urban,1195
BRASOV,2019,total_urban,1829
BUZAU,2019,total_urban,2112
CALARASI,2019,total_urban,762
CARAS-SEVERIN,2019,total_urban,1311
CLUJ,2019,total_urban,2069
CONSTANTA,2019,total_urban,2668
COVASNA,2019,total_urban,871
DAMBOVITA,2019,total_urban,1101
DOLJ,2019,total_urban,2626
GALATI,2019,total_urban,2109
GIURGIU,2019,total_urban,523
GORJ,2019,total_urban,1477
HARGHITA,2019,total_urban,1534
HUNEDOARA,2019,total_urban,3879
IALOMITA,2019,total_urban,1396
IASI,2019,total_urban,1307
ILFOV,2019,total_urban,212
MARAMURES,2019,total_urban,3258
MEHEDINTI,2019,total_urban,1395
MURES,2019,total_urban,1131
NEAMT,2019,total_urban,1350
OLT,2019,total_urban,1796
PRAHOVA,2019,total_urban,2107
SALAJ,2019,total_urban,964
SATU MARE,2019,total_urban,643
SIBIU,2019,total_urban,1077
SUCEAVA,2019,total_urban,3234
TELEORMAN,2019,total_urban,2209
TIMIS,2019,total_urban,1436
TULCEA,2019,total_urban,649
VALCEA,2019,total_urban,1896
VASLUI,2019,total_urban,1188
VRANCEA,2019,total_urban,1090
BUCURESTI,2019,total_urban,15502
Total TARA,2019,total_urban,80125
ALBA,2020,total_urban,2318
ARAD,2020,total_urban,2185
ARGES,2020,total_urban,2656
BACAU,2020,total_urban,2867
BIHOR,2020,total_urban,2083
BISTRITA-NASAUD,2020,total_urban,1431
BOTOSANI,2020,total_urban,1611
BRAILA,2020,total_urban,1359
BRASOV,2020,total_urban,2604
BUZAU,2020,total_urban,2465
CALARASI,2020,total_urban,1135
CARAS-SEVERIN,2020,total_urban,1730
CLUJ,2020,total_urban,3132
CONSTANTA,2020,total_urban,3516
COVASNA,2020,total_urban,1415
DAMBOVITA,2020,total_urban,1153
DOLJ,2020,total_urban,3549
GALATI,2020,total_urban,2696
GIURGIU,2020,total_urban,629
GORJ,2020,total_urban,1740
HARGHITA,2020,total_urban,1912
HUNEDOARA,2020,total_urban,4598
IALOMITA,2020,total_urban,1439
IASI,2020,total_urban,1825
ILFOV,2020,total_urban,252
MARAMURES,2020,total_urban,3292
MEHEDINTI,2020,total_urban,1859
MURES,2020,total_urban,1782
NEAMT,2020,total_urban,1803
OLT,2020,total_urban,2309
PRAHOVA,2020,total_urban,3506
SALAJ,2020,total_urban,1270
SATU MARE,2020,total_urban,1111
SIBIU,2020,total_urban,2347
SUCEAVA,2020,total_urban,3723
TELEORMAN,2020,total_urban,2155
TIMIS,2020,total_urban,1920
TULCEA,2020,total_urban,921
VALCEA,2020,total_urban,2243
VASLUI,2020,total_urban,1426
VRANCEA,2020,total_urban,1231
BUCURESTI,2020,total_urban,15290
Total TARA,2020,total_urban,100488
ALBA,2024,total_urban,1622
ARAD,2024,total_urban,1046
ARGES,2024,total_urban,1118
BACAU,2024,total_urban,1538
BIHOR,2024,total_urban,1141
BISTRITA-NASAUD,2024,total_urban,1301
BOTOSANI,2024,total_urban,1330
BRAILA,2024,total_urban,1092
BRASOV,2024,total_urban,1615
BUZAU,2024,total_urban,1183
CALARASI,2024,total_urban,1066
CARAS-SEVERIN,2024,total_urban,1167
CLUJ,2024,total_urban,1774
CONSTANTA,2024,total_urban,1655
COVASNA,2024,total_urban,1002
DAMBOVITA,2024,total_urban,836
DOLJ,2024,total_urban,2444
GALATI,2024,total_urban,1325
GIURGIU,2024,total_urban,309
GORJ,2024,total_urban,1275
HARGHITA,2024,total_urban,1598
HUNEDOARA,2024,total_urban,4720
IALOMITA,2024,total_urban,1025
IASI,2024,total_urban,1247
ILFOV,2024,total_urban,216
MARAMURES,2024,total_urban,1708
MEHEDINTI,2024,total_urban,1047
MURES,2024,total_urban,1799
NEAMT,2024,total_urban,1307
OLT,2024,total_urban,1225
PRAHOVA,2024,total_urban,1805
SALAJ,2024,total_urban,756
SATU MARE,2024,total_urban,1191
SIBIU,2024,total_urban,1357
SUCEAVA,2024,total_urban,2832
TELEORMAN,2024,total_urban,1568
TIMIS,2024,total_urban,1361
TULCEA,2024,total_urban,589
VALCEA,2024,total_urban,1118
VASLUI,2024,total_urban,1292
VRANCEA,2024,total_urban,449
BUCURESTI,2024,total_urban,9985
Total TARA,2024,total_urban,66034
ALBA,2019,femei_urban,860
ARAD,2019,femei_urban,716
ARGES,2019,femei_urban,720
BACAU,2019,femei_urban,962
BIHOR,2019,femei_urban,686
BISTRITA-NASAUD,2019,femei_urban,581
BOTOSANI,2019,femei_urban,667
BRAILA,2019,femei_urban,534
BRASOV,2019,femei_urban,976
BUZAU,2019,femei_urban,1083
CALARASI,2019,femei_urban,395
CARAS-SEVERIN,2019,femei_urban,613
CLUJ,2019,femei_urban,1251
CONSTANTA,2019,femei_urban,1530
COVASNA,2019,femei_urban,459
DAMBOVITA,2019,femei_urban,590
DOLJ,2019,femei_urban,1387
GALATI,2019,femei_urban,1185
GIURGIU,2019,femei_urban,314
GORJ,2019,femei_urban,815
HARGHITA,2019,femei_urban,787
HUNEDOARA,2019,femei_urban,2048
IALOMITA,2019,femei_urban,706
IASI,2019,femei_urban,697
ILFOV,2019,femei_urban,119
MARAMURES,2019,femei_urban,1730
MEHEDINTI,2019,femei_urban,669
MURES,2019,femei_urban,619
NEAMT,2019,femei_urban,698
OLT,2019,femei_urban,922
PRAHOVA,2019,femei_urban,1148
SALAJ,2019,femei_urban,523
SATU MARE,2019,femei_urban,334
SIBIU,2019,femei_urban,551
SUCEAVA,2019,femei_urban,1638
TELEORMAN,2019,femei_urban,1081
TIMIS,2019,femei_urban,829
TULCEA,2019,femei_urban,381
VALCEA,2019,femei_urban,984
VASLUI,2019,femei_urban,592
VRANCEA,2019,femei_urban,557
BUCURESTI,2019,femei_urban,8306
Total TARA,2019,femei_urban,42243
ALBA,2020,femei_urban,1236
ARAD,2020,femei_urban,1275
ARGES,2020,femei_urban,1683
BACAU,2020,femei_urban,1010
BIHOR,2020,femei_urban,1294
BISTRITA-NASAUD,2020,femei_urban,882
BOTOSANI,2020,femei_urban,867
BRAILA,2020,femei_urban,743
BRASOV,2020,femei_urban,1449
BUZAU,2020,femei_urban,1278
CALARASI,2020,femei_urban,609
CARAS-SEVERIN,2020,femei_urban,816
CLUJ,2020,femei_urban,1918
CONSTANTA,2020,femei_urban,2131
COVASNA,2020,femei_urban,782
DAMBOVITA,2020,femei_urban,643
DOLJ,2020,femei_urban,2030
GALATI,2020,femei_urban,1542
GIURGIU,2020,femei_urban,376
GORJ,2020,femei_urban,984
HARGHITA,2020,femei_urban,1035
HUNEDOARA,2020,femei_urban,2743
IALOMITA,2020,femei_urban,761
IASI,2020,femei_urban,1013
ILFOV,2020,femei_urban,147
MARAMURES,2020,femei_urban,1688
MEHEDINTI,2020,femei_urban,1012
MURES,2020,femei_urban,1005
NEAMT,2020,femei_urban,1021
OLT,2020,femei_urban,1336
PRAHOVA,2020,femei_urban,2008
SALAJ,2020,femei_urban,724
SATU MARE,2020,femei_urban,574
SIBIU,2020,femei_urban,1269
SUCEAVA,2020,femei_urban,1958
TELEORMAN,2020,femei_urban,1186
TIMIS,2020,femei_urban,1113
TULCEA,2020,femei_urban,539
VALCEA,2020,femei_urban,1226
VASLUI,2020,femei_urban,798
VRANCEA,2020,femei_urban,671
BUCURESTI,2020,femei_urban,8167
Total TARA,2020,femei_urban,55542
ALBA,2024,femei_urban,900
ARAD,2024,femei_urban,575
ARGES,2024,femei_urban,686
BACAU,2024,femei_urban,765
BIHOR,2024,femei_urban,688
BISTRITA-NASAUD,2024,femei_urban,691
BOTOSANI,2024,femei_urban,771
BRAILA,2024,femei_urban,586
BRASOV,2024,femei_urban,888
BUZAU,2024,femei_urban,659
CALARASI,2024,femei_urban,600
CARAS-SEVERIN,2024,femei_urban,578
CLUJ,2024,femei_urban,1105
CONSTANTA,2024,femei_urban,1021
COVASNA,2024,femei_urban,541
DAMBOVITA,2024,femei_urban,492
DOLJ,2024,femei_urban,1334
GALATI,2024,femei_urban,727
GIURGIU,2024,femei_urban,170
GORJ,2024,femei_urban,797
HARGHITA,2024,femei_urban,886
HUNEDOARA,2024,femei_urban,2725
IALOMITA,2024,femei_urban,567
IASI,2024,femei_urban,654
ILFOV,2024,femei_urban,142
MARAMURES,2024,femei_urban,919
MEHEDINTI,2024,femei_urban,564
MURES,2024,femei_urban,954
NEAMT,2024,femei_urban,720
OLT,2024,femei_urban,745
PRAHOVA,2024,femei_urban,1059
SALAJ,2024,femei_urban,426
SATU MARE,2024,femei_urban,672
SIBIU,2024,femei_urban,748
SUCEAVA,2024,femei_urban,1394
TELEORMAN,2024,femei_urban,786
TIMIS,2024,femei_urban,763
TULCEA,2024,femei_urban,328
VALCEA,2024,femei_urban,650
VASLUI,2024,femei_urban,710
VRANCEA,2024,femei_urban,246
BUCURESTI,2024,femei_urban,5692
Total TARA,2024,femei_urban,36924
ALBA,2019,barbati_urban,799
ARAD,2019,barbati_urban,606
ARGES,2019,barbati_urban,561
BACAU,2019,barbati_urban,1430
BIHOR,2019,barbati_urban,502
BISTRITA-NASAUD,2019,barbati_urban,420
BOTOSANI,2019,barbati_urban,709
BRAILA,2019,barbati_urban,661
BRASOV,2019,barbati_urban,853
BUZAU,2019,barbati_urban,1029
CALARASI,2019,barbati_urban,367
CARAS-SEVERIN,2019,barbati_urban,698
CLUJ,2019,barbati_urban,818
CONSTANTA,2019,barbati_urban,1138
COVASNA,2019,barbati_urban,412
DAMBOVITA,2019,barbati_urban,511
DOLJ,2019,barbati_urban,1239
GALATI,2019,barbati_urban,924
GIURGIU,2019,barbati_urban,209
GORJ,2019,barbati_urban,662
HARGHITA,2019,barbati_urban,747
HUNEDOARA,2019,barbati_urban,1831
IALOMITA,2019,barbati_urban,690
IASI,2019,barbati_urban,610
ILFOV,2019,barbati_urban,93
MARAMURES,2019,barbati_urban,1528
MEHEDINTI,2019,barbati_urban,726
MURES,2019,barbati_urban,512
NEAMT,2019,barbati_urban,652
OLT,2019,barbati_urban,874
PRAHOVA,2019,barbati_urban,959
SALAJ,2019,barbati_urban,441
SATU MARE,2019,barbati_urban,309
SIBIU,2019,barbati_urban,526
SUCEAVA,2019,barbati_urban,1596
TELEORMAN,2019,barbati_urban,1128
TIMIS,2019,barbati_urban,607
TULCEA,2019,barbati_urban,268
VALCEA,2019,barbati_urban,912
VASLUI,2019,barbati_urban,596
VRANCEA,2019,barbati_urban,533
BUCURESTI,2019,barbati_urban,7196
Total TARA,2019,barbati_urban,37882
ALBA,2020,barbati_urban,1082
ARAD,2020,barbati_urban,910
ARGES,2020,barbati_urban,973
BACAU,2020,barbati_urban,1857
BIHOR,2020,barbati_urban,789
BISTRITA-NASAUD,2020,barbati_urban,549
BOTOSANI,2020,barbati_urban,744
BRAILA,2020,barbati_urban,616
BRASOV,2020,barbati_urban,1155
BUZAU,2020,barbati_urban,1187
CALARASI,2020,barbati_urban,526
CARAS-SEVERIN,2020,barbati_urban,914
CLUJ,2020,barbati_urban,1214
CONSTANTA,2020,barbati_urban,1385
COVASNA,2020,barbati_urban,633
DAMBOVITA,2020,barbati_urban,510
DOLJ,2020,barbati_urban,1519
GALATI,2020,barbati_urban,1154
GIURGIU,2020,barbati_urban,253
GORJ,2020,barbati_urban,756
HARGHITA,2020,barbati_urban,877
HUNEDOARA,2020,barbati_urban,1855
IALOMITA,2020,barbati_urban,678
IASI,2020,barbati_urban,812
ILFOV,2020,barbati_urban,105
MARAMURES,2020,barbati_urban,1604
MEHEDINTI,2020,barbati_urban,847
MURES,2020,barbati_urban,777
NEAMT,2020,barbati_urban,782
OLT,2020,barbati_urban,973
PRAHOVA,2020,barbati_urban,1498
SALAJ,2020,barbati_urban,546
SATU MARE,2020,barbati_urban,537
SIBIU,2020,barbati_urban,1078
SUCEAVA,2020,barbati_urban,1765
TELEORMAN,2020,barbati_urban,969
TIMIS,2020,barbati_urban,807
TULCEA,2020,barbati_urban,382
VALCEA,2020,barbati_urban,1017
VASLUI,2020,barbati_urban,628
VRANCEA,2020,barbati_urban,560
BUCURESTI,2020,barbati_urban,7123
Total TARA,2020,barbati_urban,44946
ALBA,2024,barbati_urban,722
ARAD,2024,barbati_urban,471
ARGES,2024,barbati_urban,432
BACAU,2024,barbati_urban,773
BIHOR,2024,barbati_urban,453
BISTRITA-NASAUD,2024,barbati_urban,610
BOTOSANI,2024,barbati_urban,559
BRAILA,2024,barbati_urban,506
BRASOV,2024,barbati_urban,727
BUZAU,2024,barbati_urban,524
CALARASI,2024,barbati_urban,466
CARAS-SEVERIN,2024,barbati_urban,589
CLUJ,2024,barbati_urban,669
CONSTANTA,2024,barbati_urban,634
COVASNA,2024,barbati_urban,461
DAMBOVITA,2024,barbati_urban,344
DOLJ,2024,barbati_urban,1110
GALATI,2024,barbati_urban,598
GIURGIU,2024,barbati_urban,139
GORJ,2024,barbati_urban,478
HARGHITA,2024,barbati_urban,712
HUNEDOARA,2024,barbati_urban,1995
IALOMITA,2024,barbati_urban,458
IASI,2024,barbati_urban,593
ILFOV,2024,barbati_urban,74
MARAMURES,2024,barbati_urban,789
MEHEDINTI,2024,barbati_urban,483
MURES,2024,barbati_urban,845
NEAMT,2024,barbati_urban,587
OLT,2024,barbati_urban,480
PRAHOVA,2024,barbati_urban,746
SALAJ,2024,barbati_urban,330
SATU MARE,2024,barbati_urban,519
SIBIU,2024,barbati_urban,609
SUCEAVA,2024,barbati_urban,1438
TELEORMAN,2024,barbati_urban,782
TIMIS,2024,barbati_urban,598
TULCEA,2024,barbati_urban,261
VALCEA,2024,barbati_urban,468
VASLUI,2024,barbati_urban,582
VRANCEA,2024,barbati_urban,203
BUCURESTI,2024,barbati_urban,4293
Total TARA,2024,barbati_urban,29110
ALBA,2019,total_rural,3087
